
Measuring costs for CostType::Contract(VerifyMlDsa44Sig)


Measuring costs for CostType::Contract(VerifyMlDsa44Sig)

iterations        inputs     cpu_insns_total     cpu_insns_base     mem_bytes_total     mem_bytes_base     time_ns_total     time_ns_base     ave_net_input     ave_net_insns     ave_net_bytes     ave_net_ns     ave_net_insn_per_input     ave_net_bytes_per_input
       100             0          68,573,474             56,916                   0                  0         5,025,587           60,726                 0           685,165                 0         49,648                    685,165     0
       100       102,400          73,767,363             56,916                   0                  0         5,273,444           60,726             1,024           737,104                 0         52,127                        719     0
       100       204,800          78,310,463             56,916                   0                  0         5,767,988           60,726             2,048           782,535                 0         57,072                        382     0
       100       307,200          83,492,033             56,916                   0                  0         6,364,015           60,726             3,072           834,351                 0         63,032                        271     0
       100       409,600          88,035,962             56,916                   0                  0         6,533,442           60,726             4,096           879,790                 0         64,727                        214     0
       100       512,000          93,222,664             56,916                   0                  0         6,756,324           60,726             5,120           931,657                 0         66,955                        181     0
       100       614,400          97,759,768             56,916                   0                  0         7,348,537           60,726             6,144           977,028                 0         72,878                        159     0
       100       716,800         102,939,667             56,916                   0                  0         7,031,226           60,726             7,168         1,028,827                 0         69,705                        143     0
       100       819,200         107,481,672             56,916                   0                  0         7,553,259           60,726             8,192         1,074,247                 0         74,925                        131     0
       100       921,600         112,669,239             56,916                   0                  0         7,495,721           60,726             9,216         1,126,123                 0         74,349                        122     0
       100     1,024,000         117,206,167             56,916                   0                  0         7,720,470           60,726            10,240         1,171,492                 0         76,597                        114     0
       100     1,126,400         122,395,463             56,916                   0                  0         7,980,354           60,726            11,264         1,223,385                 0         79,196                        108     0
       100     1,228,800         126,933,365             56,916                   0                  0         8,473,055           60,726            12,288         1,268,764                 0         84,123                        103     0
       100     1,331,200         132,117,569             56,916                   0                  0         8,774,899           60,726            13,312         1,320,606                 0         87,141                         99     0
       100     1,433,600         136,660,567             56,916                   0                  0         9,012,377           60,726            14,336         1,366,036                 0         89,516                         95     0
       100     1,536,000         141,843,067             56,916                   0                  0        10,035,144           60,726            15,360         1,417,861                 0         99,744                         92     0
       100     1,638,400         146,385,839             56,916                   0                  0         9,831,637           60,726            16,384         1,463,289                 0         97,709                         89     0
       100     1,740,800         151,570,039             56,916                   0                  0        10,240,384           60,726            17,408         1,515,131                 0        101,796                         87     0
       100     1,843,200         156,753,164             56,916                   0                  0        10,234,496           60,726            18,432         1,566,962                 0        101,737                         85     0
       100     1,945,600         161,292,874             56,916                   0                  0        12,859,773           60,726            19,456         1,612,359                 0        127,990                         82     0
       100     2,048,000         166,472,768             56,916                   0                  0        12,267,690           60,726            20,480         1,664,158                 0        122,069                         81     0
       100     2,150,400         171,020,063             56,916                   0                  0        11,375,330           60,726            21,504         1,709,631                 0        113,146                         79     0
       100     2,252,800         176,205,065             56,916                   0                  0        11,546,884           60,726            22,528         1,761,481                 0        114,861                         78     0
