
Measuring costs for CostType::Contract(VerifyMlDsa44Sig)


Measuring costs for CostType::Contract(VerifyMlDsa44Sig)

iterations        inputs     cpu_insns_total     cpu_insns_base     mem_bytes_total     mem_bytes_base     time_ns_total     time_ns_base     ave_net_input     ave_net_insns     ave_net_bytes     ave_net_ns     ave_net_insn_per_input     ave_net_bytes_per_input
       100             0          68,573,480             56,918                   0                  0         9,496,117          214,658                 0           685,165                 0         92,814                    685,165     0
       100        13,600          69,233,971             56,918                   0                  0         6,754,138          214,658               136           691,770                 0         65,394                      5,086     0
       100        27,200          69,879,169             56,918                   0                  0         9,330,907          214,658               272           698,222                 0         91,162                      2,566     0
       100        40,800          70,532,564             56,918                   0                  0         6,108,382          214,658               408           704,756                 0         58,937                      1,727     0
       100        54,400          71,179,169             56,918                   0                  0         8,246,701          214,658               544           711,222                 0         80,320                      1,307     0
       100        68,000          71,829,175             56,918                   0                  0         9,392,559          214,658               680           717,722                 0         91,779                      1,055     0
       100        81,600          72,472,372             56,918                   0                  0        10,957,845          214,658               816           724,154                 0        107,431                        887     0
       100        95,200          73,125,772             56,918                   0                  0         9,898,168          214,658               952           730,688                 0         96,835                        767     0
       100       108,800          73,767,275             56,918                   0                  0         8,172,663          214,658             1,088           737,103                 0         79,580                        677     0
       100       122,400          74,422,373             56,918                   0                  0         8,344,485          214,658             1,224           743,654                 0         81,298                        607     0
       100       136,000          75,070,665             56,918                   0                  0         7,426,515          214,658             1,360           750,137                 0         72,118                        551     0
       100       149,600          75,717,271             56,918                   0                  0         8,384,597          214,658             1,496           756,603                 0         81,699                        505     0
       100       163,200          76,367,271             56,918                   0                  0         6,649,677          214,658             1,632           763,103                 0         64,350                        467     0
       100       176,800          77,010,476             56,918                   0                  0         8,606,784          214,658             1,768           769,535                 0         83,921                        435     0
       100       190,400          77,660,463             56,918                   0                  0         6,670,390          214,658             1,904           776,035                 0         64,557                        407     0
       100       204,000          78,307,075             56,918                   0                  0         8,976,530          214,658             2,040           782,501                 0         87,618                        383     0
       100       217,600          78,951,972             56,918                   0                  0         7,015,451          214,658             2,176           788,950                 0         68,007                        362     0
       100       231,200          79,608,767             56,918                   0                  0         8,408,419          214,658             2,312           795,518                 0         81,937                        344     0
       100       244,800          80,253,670             56,918                   0                  0         6,223,212          214,658             2,448           801,967                 0         60,085                        327     0
       100       258,400          80,907,037             56,918                   0                  0         6,190,199          214,658             2,584           808,501                 0         59,755                        312     0
