input     cpu insns     mem bytes     time nsecs     insns/input     bytes/input     nsecs/input
    0        39337             0       10208          39337               0     10208
    0        39606             0        9083          39606               0     9083
    9        38861             0        8916           4317               0     990
   18        38048             0        8833           2113               0     490
   26        37370             0        9041           1437               0     347
   35        36605             0        8875           1045               0     253
   43        35864             0        8625             834               0     200
   51        35240             0        8541             690               0     167
   59        34541             0        8375             585               0     141
   68        33825             0        7916             497               0     116
   76        33133             0        7791             435               0     102
   84        32408             0        7708             385               0     91
   92        31719             0        7583             344               0     82
  100        31073             0        7458             310               0     74
  108        30344             0        7250             280               0     67
  116        29656             0        7125             255               0     61
  124        28968             0        7041             233               0     56
  133        28187             0        6875             211               0     51
  141        27518             0        6708             195               0     47
  149        26811             0        6666             179               0     44
  157        26142             0        6541             166               0     41
  165        25435             0        6375             154               0     38
  173        24818             0        6250             143               0     36
  181        24131             0        6125             133               0     33
  189        23390             0        6041             123               0     31
  197        22675             0        5958             115               0     30
  205        22009             0        5750             107               0     28
  213        21321             0        5625             100               0     26
  221        20572             0        5666              93               0     25
  229        19965             0        5833              87               0     25
  237        19277             0        5208              81               0     21
  245        18516             0        5208              75               0     21
  253        17922             0        5000              70               0     19
